"sleeveId","ポケスリ商品名","楽天商品名","価格","ショップ","matchScore","reviewReason","確認結果"
"168913","ミロカロス","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ プレミアム グロス ミロカロス 代引不可商品","1780","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"176925","フーパ","【中古】ポケモンカードゲーム デッキシールド ときはなたれしフーパ","4680","ハッピーストア藤岡","0.9","必須条件を満たす候補が複数あるため要確認です",""
"190570","ソルガレオ・ルナアーラ","ポケモンカードゲーム 【デッキシールド単品】ダブルデッキシールド リーリエ＆ソルガレオ・ルナアーラ","4580","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"190709","トロピカル☆パーティ","【中古】ポケモンカードゲーム　デッキシールド トロピカル☆パーティ","7292","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"191140","ミミッキュ","ポケモンカードゲーム デッキシールド BALL FREAK ミミッキュ","3020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"191157","へんしん！メタモン","ポケモンカードゲーム デッキシールド へんしん！メタモン ver.2","4020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"191454","カビゴン","ポケモンカードゲーム [デッキシールド /カントーの冒険 ピカチュウ＆カビゴン/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"191935","がんばリーリエ","ポケモンカードゲーム デッキシールド がんばリーリエ","4580","フルアヘッド","1.1","必須条件を満たす候補が複数あるため要確認です",""
"2011004","リザードン","ポケモンカードゲーム デッキシールド プロ リザードン","1980","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2014001","メガサーナイト","ポケモンカードゲーム デッキシールド メガサーナイト","700","Outlet Plaza","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2016007","ホエルオー","【中古】（非常に良い）ポケモンカードゲーム デッキシールド コイキング&ホエルオー TAG TEAM GX","9456","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2017001","アセロラ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド アセロラ","2480","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2017009","リーリエ＆ソルガレオ","ポケモンカードゲーム 【デッキシールド単品】ダブルデッキシールド リーリエ＆ソルガレオ・ルナアーラ","4580","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2017010","リーリエ＆ルナアーラ","ポケモンカードゲーム 【デッキシールド単品】ダブルデッキシールド リーリエ＆ソルガレオ・ルナアーラ","4580","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2018001","ルチア","ポケモンカードゲーム デッキシールド スリーブ チルタリス&ルチア Ver.2 代引不可商品","1480","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2020003","オリーヴ","ポケモンカード デッキシールド オリーヴ 64枚入り 未開封スリーブ 【中古】","990","トレカ通販 トレトク楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2020005","ルリナ","ポケモンカードゲーム デッキシールド POKEMON TRAINERS Off Shot! ルリナ","1020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2020006","マリィ","ポケモンカードゲーム デッキシールド POKEMON TRAINERS Off Shot! ユウリ＆マリィ","1820","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2022006","コンゴウ団の仲間たち","ポケモンカードゲーム 【デッキシールド単品】デッキシールド コンゴウ団の仲間たち","1120","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2023001","ナンジャモ","ポケモンカードゲーム デッキシールド ナンジャモ","1280","Outlet Plaza","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2025001","リーリエ","ポケモンカードゲーム デッキシールド がんばリーリエ","4580","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"2025002","アセロラ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド アセロラ","2480","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"226231","マオ・スイレン・リーリエ","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) マオ・スイレン・リーリエ","9520","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"226248","ピカチュウ フェイス","ポケモンカードゲーム デッキシールド ピカチュウフェイス ver.2","2020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"226811","ルギア","ポケモンカードゲーム デッキシールド スリーブ ルギア＆レジエレキ＆レジドラゴ 代引不可商品","1480","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"226903","フーパ","【中古】ポケモンカードゲーム デッキシールド ときはなたれしフーパ","4680","ハッピーストア藤岡","0.9","必須条件を満たす候補が複数あるため要確認です",""
"226927","くっつきなかよしイーブイたち","【中古】（非常に良い）ポケモンカードゲーム デッキシールド くっつきなかよしイーブイたち","5750","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"228570","イーブイポンチョシリーズ NP","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) イーブイ ポンチョシリーズ NP ポケモンセンター限定","19800","ネットショップ駿河屋 楽天市場店","0.94","ポケスリ側の商品名の主要語が一部しか一致しません",""
"246130","ピカチュウ＆ゼクロム TAG TEAM GX","ポケモンカードゲーム デッキシールド ピカチュウ&ゼクロム TAG TEAM GX","1380","優良品館","1.1","必須条件を満たす候補が複数あるため要確認です",""
"246185","コイキング&ホエルオー TAG TEAM GX","【中古】（非常に良い）ポケモンカードゲーム デッキシールド コイキング&ホエルオー TAG TEAM GX","9456","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"246574","ミュウツー","【中古】（非常に良い）ポケモンカードゲーム デッキシールド ミュウツー ver.2","5080","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"246581","へんしん！メタモン ver.2","ポケモンカードゲーム デッキシールド へんしん！メタモン ver.2","4020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"246826","名探偵ピカチュウ","【中古】ポケモンカードゲーム デッキシールド 名探偵ピカチュウ","4680","ハッピーストア藤岡","0.9","必須条件を満たす候補が複数あるため要確認です",""
"246864","グズマ","【中古】(非常に良い)ポケモンカードゲーム デッキシールド グズマ","7986","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"246871","ファイヤー&サンダー&フリーザー TAG TEAM GX","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ファイヤー＆サンダー＆フリーザー","1380","ネットショップ駿河屋 楽天市場店","0.94","ポケスリ側の商品名の主要語が一部しか一致しません",""
"246901","ロケット団","ポケモンカードゲーム デッキシールド ロケット団の栄光","1980","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"247403","レッド＆ピカチュウ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ポケモンドールズ レッド ピカチュウ 代引不可商品","1780","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"254500","ミュウツー Ver.2","【中古】（非常に良い）ポケモンカードゲーム デッキシールド ミュウツー ver.2","5080","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"262567","リカケイノオトコ ロボピカチュウ","【中古】（非常に良い）ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド リカケイノオトコ ロボピカチュウ","6227","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"262574","リカケイノオトコ ジッケンシツ","【中古】(非常に良い)ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド リカケイノオトコ ジッケンシツ","7986","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"265018","BL Pokémon White","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) BL Pokemon White ポケモンセンター限定","2380","ネットショップ駿河屋 楽天市場店","0.96","ポケスリ側の商品名の主要語が一部しか一致しません",""
"265032","ピカチュウ　ジュエル","【中古】ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド ピカチュウ ジュエル","4578","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"266190","進化の系譜 リザードン","【中古】ポケモンカードゲーム デッキシールド 進化の系譜 リザードン","10500","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"266213","進化の系譜 カメックス","【中古】(非常に良い)ポケモンカードゲーム デッキシールド 進化の系譜 カメックス","10810","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"266688","おでかけフェアリー","ポケモンカードゲーム デッキシールド おでかけフェアリー","1820","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"266862","ダメカン10","ポケモンカード デッキシールド ダメカン10 64枚入り 未開封スリーブ 【中古】","1420","トレカ通販 トレトク楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"274492","PIKACHU PIKACHU","【中古】（非常に良い）ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド PIKACHU PIKACHU","5746","GoodLifeStore","1.1","必須条件を満たす候補が複数あるため要確認です",""
"274508","Pikachu drawing","【中古】【39shop】ポケモンセンターオリジナル★ポケモンカードゲーム デッキシールド Pikachu drawing（非常に良い）","6890","ドリエム楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"277448","Oceanic Operetta ミロカロス","【中古】(非常に良い)ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド Oceanic Operetta ミロカロス","6038","ハッピーストア藤岡","0.9","必須条件を満たす候補が複数あるため要確認です",""
"283692","Pokémon's eye 129","ポケモンカードゲーム デッキシールド Pokemon's eye 129","4580","フルアヘッド","0.76","ポケスリ側の商品名の主要語が一部しか一致しません",""
"283722","サルノリ・ヒバニー・メッソン","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) サルノリ・ヒバニー・メッソン","680","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"283760","ザシアン＆ザマゼンタ","ポケモンカードゲーム　デッキシールド　ザシアン・ザマゼンタ","2980","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"288932","Pokémon World Market","ポケモンカードゲーム デッキシールド Pokemon World Market","3020","フルアヘッド","0.76","ポケスリ側の商品名の主要語が一部しか一致しません",""
"28972","ADV","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ PIKACHU ADVENTURE ゼラオラ 代引不可商品","1680","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"290416","マホイップ","ポケモンカードゲーム [デッキシールド /ガラルの冒険 ザシアン＆マホイップ/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"290492","ダッシュ！イーブイズ","ポケモンカードゲーム デッキシールド ダッシュ！イーブイズ ver.2","2980","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"290515","進化の系譜 リザードン","【中古】ポケモンカードゲーム デッキシールド 進化の系譜 リザードン","10500","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"301532","Flowers in full bloom","【中古】（非常に良い）ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド Flowers in full bloom","5080","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"306254","バンギラス","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ プレミアム グロス 雷 テラスタル バンギラス 代引不可商品","1780","WFS(World Free Store)","0.9","必須条件を満たす候補が複数あるため要確認です",""
"306261","エンペルト","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド エンペルト","2388","amax 楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"306407","バシャーモ","ポケモンカードゲーム [デッキシールド /ホウエンの冒険 カイオーガ＆バシャーモ/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"306582","バドレックス（こくばじょうのすがた）","ポケモンカードゲーム デッキシールド スリーブ バドレックス こくばじょうのすがた 代引不可商品","1980","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"306612","ゼラオラ","ポケモンカードゲーム デッキシールド PIKACHU ADVENTURE ゼラオラ","1320","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"310015","Pokémon GalarTabi","ポケモンカードゲーム デッキシールド Pokemon GalarTabi","3020","フルアヘッド","0.74","ポケスリ側の商品名の主要語が一部しか一致しません",""
"310046","Contents of Trainer's bag GR","ポケモンカード デッキシールド Contents of Trainer’s bag GR 64枚入り 未開封スリーブ 【中古】","1210","トレカ通販 トレトク楽天市場店","0.78","ポケスリ側の商品名の主要語が一部しか一致しません",""
"314440","Pokémon Trainers ネズ","ポケモンカードゲーム デッキシールド プレミアム・グロス Pokemon Trainers ネズ","1520","フルアヘッド","0.76","ポケスリ側の商品名の主要語が一部しか一致しません",""
"319094","Pokémon Yurutto 寝そべり","ポケモンカードゲーム デッキシールド Pokemon Yurutto 寝そべり","2520","フルアヘッド","0.76","ポケスリ側の商品名の主要語が一部しか一致しません",""
"322476","キョダイマックスジュラルドン","在庫あり[メール便OK]【新品】【TTAC】ポケモンCG デッキシールド キョダイマックスジュラルドン","750","浅草マッハ!!","1.1","必須条件を満たす候補が複数あるため要確認です",""
"322490","ダイマックスレックウザ","【中古】(非常に良い)ポケモンカードゲーム デッキシールド ダイマックスレックウザ","5080","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"322742","ピカチュウ","ポケモンセンターオリジナル ポケモンカードゲーム スリーブ デッキシールド プロ ピカチュウ 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"322827","シャンデラ","ポケモンカードゲーム デッキシールド シャンデラ","1320","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"322940","25th ANNIVERSARY COLLECTION","ポケモンカードゲーム デッキシールド 25th ANNIVERSARY COLLECTION","980","優良品館","1.1","必須条件を満たす候補が複数あるため要確認です",""
"323145","アセロラ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ アセロラ 代引不可商品","1980","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"323152","ふんわりはんなり","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ふんわりはんなり 代引不可商品","1280","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"323213","モンスターボール","ポケモンセンターオリジナル デッキシールド プロ モンスターボール ポケモンカードゲーム","1480","フレスタ堂 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"330556","Pokémonぴかぴかフレンズ 総柄","ポケモンカードゲーム デッキシールド Pokemonぴかぴかフレンズ 総柄","2520","フルアヘッド","0.74","ポケスリ側の商品名の主要語が一部しか一致しません",""
"330563","Pokémon fit","ポケモンカードゲーム デッキシールド Pokemon fit","1820","フルアヘッド","0.74","ポケスリ側の商品名の主要語が一部しか一致しません",""
"338163","Mawhip à la mode","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) Mawhip a la mode ポケモンセンター・ポケモンストア限定","1750","ネットショップ駿河屋 楽天市場店","0.97","ポケスリ側の商品名の主要語が一部しか一致しません",""
"345451","悪テラスタルリザードン","ポケモンカードゲーム 　デッキシールド　プレミアム・グロス　悪テラスタルリザードン","2480","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345499","ゲッコウガ","ポケモン ポケモンカードゲーム デッキシールド メガゲッコウガ （ZC172766）","880","でじたみん 楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"345529","BALL&ENERGY","ポケモンカードゲーム デッキシールド BALL&ENERGY","1150","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345581","ピカチュウ大集合","【有在庫】ポケモンカードゲームデッキシールド　〔ピカチュウ大集合、メガリザードンX〕2種セット","1200","D.R.Ashop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345673","ハルクジラ","ポケモン カードゲーム デッキシールド ハルクジラ","1229","梵たん 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345703","タギングル","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ タギングル 代引不可商品","1280","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345710","ピカチュウ＆パモ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ ピカチュウ＆パモ 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345741","ディンルー","ポケモンカードゲーム デッキシールド ディンルー","820","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345758","パオジアン","【エントリーで全品P5倍】ポケモンカードゲーム デッキシールド パオジアン 新品未開封","870","イーバリュー楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"345765","ニャオハ・ホゲータ・クワッスの贈り物","ポケモン TCG 64枚 カードスリーブ デッキシールド ニャオハ・ホゲータ・クワッスの贈り物","2169","凛々堂 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"346113","テラスタルウインディ","ポケモンカード デッキシールドプレミアム・グロス テラスタルウインディ 64枚入り 未開封スリーブ 【中古】","930","トレカ通販 トレトク楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"351100","COOL×METAL ギルガルド","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) プレミアム・グロス COOL×METAL ギルガルド ポケモンセンター限定","1500","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"351773","もりのおくりもの","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) もりのおくりもの ポケモンセンター限定","980","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"356129","ミックスオレ","ポケモンカードゲーム デッキシールド ミックスオレ","1320","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"356143","PIKACHU ADVENTURE レックウザ","【中古】ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド PIKACHU ADVENTURE レックウザ","4580","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"359601","ベル","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) ベル ポケモンセンター・ポケモンカードジム限定","1250","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"360621","コライドン","ポケモンカードゲーム デッキシールド コライドン","1180","ケイスマオンライン","0.9","必須条件を満たす候補が複数あるため要確認です",""
"360638","ミライドン","ポケモンカードゲーム デッキシールド ミライドン","1230","P-G-shop","0.9","必須条件を満たす候補が複数あるため要確認です",""
"360676","サザレ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ サザレ ガーディ 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"361307","テラスタルオーガポン みどりのめん","ポケモンカードゲーム デッキシールド プレミアム・グロス テラスタルオーガポン みどりのめん","980","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"361536","カシオペア","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ カシオペア サンダース リーフィア 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"362298","テラスタイプ：ステラ ラプラス","【中古】(非常に良い)ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド プレミアム・グロス テラスタイプ：ステラ ラプラス","4830","GoodLifeStore","0.9","必須条件を満たす候補が複数あるため要確認です",""
"362328","タロ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ タロ ポケモントレーナー 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"362434","アローラの冒険 カプ・コケコ＆ミミッキュ","ポケモンカードゲーム [デッキシールド /アローラの冒険 カプ・コケコ＆ミミッキュ/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"362441","カロスの冒険 ゼルネアス＆オンバーン","ポケモンカードゲーム [デッキシールド /カロスの冒険 ゼルネアス＆オンバーン/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"362458","イッシュの冒険 レシラム＆モロバレル","ポケモンカードゲーム [デッキシールド /イッシュの冒険 レシラム＆モロバレル/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"362472","ホウエンの冒険 カイオーガ＆バシャーモ","ポケモンカードゲーム [デッキシールド /ホウエンの冒険 カイオーガ＆バシャーモ/スリーブ 64枚]","1580","REALiZE トレカ&ホビー楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"364681","かがやくゲッコウガ","【中古】Pokemon◆ホビーその他/ポケセン限定スリーブ/かがやくゲッコウガ【ホビー】","3300","2nd STREET 楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"364841","キバナ","ポケモン(Pokemon)カードゲームデッキシールドキバナ","1480","Life shop Soleil.","1.1","必須条件を満たす候補が複数あるため要確認です",""
"364872","ネオラント","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) プレミアム・グロス ネオラント ポケモンセンター限定","1500","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"364896","VSTAR","ポケモンカードゲーム デッキシールド ミュウツーVSTAR","1020","フルアヘッド","0.9","必須条件を満たす候補が複数あるため要確認です",""
"364902","リザードン","ポケモンカードゲーム デッキシールド プロ リザードン","1980","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"364964","アルセウス（VSTARマーカー付き）","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) アルセウス VSTARマーカー付き","1040","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"365435","カメックス","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ プレミアム グロス カメックス 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"365459","フシギバナ","ポケモンセンターオリジナル ポケモンカードゲーム デッキシールド スリーブ プレミアム グロス フシギバナ 代引不可商品","1780","WFS(World Free Store)","1.1","必須条件を満たす候補が複数あるため要確認です",""
"365541","ヒナツ","ポケモンカードゲーム　デッキシールド　ヒナツ","1280","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"365671","プロ ピカチュウ Ver.2","ポケモンカードゲーム デッキシールドプロ ピカチュウVer.2","2480","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"365923","ダークライ","ポケモンカードゲーム デッキシールド メガダークライ ポケモン （ZC178002）","890","でじたみん 楽天市場店","0.9","必須条件を満たす候補が複数あるため要確認です",""
"367286","モンスターボールデザイン","ポケモンカードゲーム デッキシールド モンスターボールデザイン","1230","P-G-shop","1.1","必須条件を満たす候補が複数あるため要確認です",""
"367798","COOL×METAL ルカリオ","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) プレミアム・グロス COOL×METAL ルカリオ ポケモンセンター限定","1750","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
"367804","COOL×METAL ハッサム","【中古】サプライ ポケモンカードゲーム デッキシールド(スリーブ) プレミアム・グロス COOL×METAL ハッサム ポケモンセンター限定","1100","ネットショップ駿河屋 楽天市場店","1.1","必須条件を満たす候補が複数あるため要確認です",""
